Question ID,Question Text,Correct Answer,Concept Explanation
1718,Which of the following traits do archaea and bacteria share?,Lack of a nuclear envelope and presence of a plasma membrane,"Both domains are prokaryotic, meaning they lack a membrane-bound nucleus (nuclear envelope), yet both maintain cell boundaries via a plasma membrane."
1719,Prokaryotes are classified as belonging to two different domains. What are the domains?,Bacteria and Archaea,"The tree of life is divided into three domains: Bacteria, Archaea, and Eukarya; the first two consist of prokaryotic organisms."
1720,A water sample from a hot thermal vent contained a single-celled organism that had a cell wall but lacked a nucleus. What is its most likely classification?,Archaea,"Archaea are famous for being extremophiles that thrive in high-temperature environments like hydrothermal vents, and they lack a nucleus."
1721,What organisms are most numerous on Earth?,Prokaryotes,"Biologists estimate the total number of individual bacteria and archaea at over  $10^{30}$ , making them the most abundant life-forms."
1722,Which of the following describe all existing bacteria?,"Tiny, ubiquitous, and metabolically diverse","While bacteria are microscopic and found in every habitat (ubiquitous), their primary differentiator is their vast range of chemical reactions (metabolism)."
1723,"To establish a link between a specific bacterium and a skin disease, researchers have shown that the bacterium was present in sick persons but not in healthy individuals. They isolated the bacterium in a pure culture and demonstrated that experimental healthy animals injected with this culture became sick. What other experiment do researchers need to perform to be absolutely sure that the bacterium is responsible for the disease?",Isolate bacterium from an infected sick animal and demonstrate that it is the same bacterium as the one used for infection,"According to Koch's fourth postulate, the suspected pathogen must be re-isolated from the experimental host and identified as being identical to the original."
1724,"Chemicals, secreted by soil fungi, which inhibit the growth of bacteria, are known as _______.",antibiotics,Antibiotics are molecules that kill or inhibit bacteria and are produced naturally by soil-dwelling bacteria and fungi to reduce competition.
1725,What is the goal of bioremediation?,To clean up areas polluted with toxic compounds by using living organisms such as bacteria,Bioremediation uses the metabolic abilities of microbes to degrade or detoxify organic solvents and fuels that pollute the environment.
1726,Some researchers have begun attempting to clean up oil spills by adding nonindigenous microbial hydrocarbon degraders to the spill... This is an example of _______.,seeding,Seeding is a bioremediation strategy that involves adding specific species of prokaryotes to a contaminated site to degrade toxins.
1727,You need to identify the major type of bacteria living on the shower curtain in your bathroom and find out what they use as a food source. What is the most efficient method for answering this question?,Enrichment culture,Enrichment cultures allow researchers to set specific growth conditions to isolate and study the metabolic needs (food source) of specific microbes.
