Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
Two populations of birds with somewhat different coloration live on opposite sides of a peninsula. The habitat between the populations is not suitable for these birds. When birds from the two populations are brought together they produce young whose appearance is intermediate between the two parents. These offspring will breed with each other or with birds from either parent population and all offspring of these pairings appear intermediate to various degrees. What keeps the two populations separate?,Multiple Choice,Temporal reproductive isolation,Lack of hybrid viability,Gametic barrier,Spatial reproductive isolation,Behavioral reproductive isolation,4,,,
The two populations [described in Question 1] are _______.,Multiple Choice,Different subspecies under the morphospecies concept.,Different species under the biological species concept.,Different species under the phylogenetic species concept.,All of the above.,,1,,,
Three populations of crickets look very similar but the males have courtship songs that sound different. What function would this difference in song likely serve if the populations came in contact?,Multiple Choice,A prezygotic isolating mechanism,A postzygotic isolating mechanism,All of the above,,,1,,
Two hypothetical species of sparrow A and B overwinter together in mixed flocks in Costa Rica. In spring Species A goes to the east coast of North America and Species B goes to the west coast. What can you say about the isolating mechanisms of these two species?,Multiple Choice,They must have strong prezygotic or postzygotic isolating mechanisms in order to spend winter in such close proximity.,The two species do not breed in the same area so they are reproductively isolated by allopatry.,One of the species is probably polyploid so they are reproductively isolated by genetic incompatibility.,Reinforcement must be occurring when they winter together.,,2,,
Refer to Figure 26.1. Which of the following forms a monophyletic group?,Multiple Choice,"A, B, C, D",C and D,"D, E, and F","E, F, and G",All of the above,4,,
The peppered moth... The light-colored form was predominant... In the mid-nineteenth century a dark-colored form appeared... Recently use of cleaner fuels has greatly reduced soot... and the dark-colored moths have been disappearing. Should the two forms of moths be considered separate species?,Multiple Choice,Yes because natural selection has affected the frequency of the two different forms.,Yes because they have completely different coloration.,No because there is no evidence that they are reproductively isolated.,Both A and B are correct.,,3,,
The sister populations [of snapping shrimp] on opposite sides of the Isthmus of Panama are true species under which species concept?,Multiple Choice,The morphospecies concept,The biological species concept,The phylogenetic species concept,Both A and C,All of the above,5,,
If the Isthmus formed gradually rather than suddenly what pattern of genetic divergence would you expect to find in these species pairs?,Multiple Choice,Similar percentages of difference in DNA sequence between all pairs of sister species,Greater percentage of difference in DNA sequence between species that inhabit deep water than between species that inhabit shallow water,Greater percentage of difference in DNA sequence between species that inhabit shallow water than between species that inhabit deep water,,,2,,
Which of the following describes the most likely order of events in speciation?,Multiple Choice,"Genetic drift, genetic isolation, divergence","Genetic isolation, divergence, genetic drift","Divergence, genetic drift, genetic isolation","Divergence, genetic isolation, genetic drift","Genetic isolation, genetic drift, divergence",5,,
You want to study divergence of populations... You will form a new population by taking some individuals from a source population and isolating them. What combination of characteristics would maximize your chance of seeing divergence in this study? (1. Random sample 2. Extreme individuals 3. Many offspring 4. Few large offspring 5. Same environment 6. Novel environment),Multiple Choice,"1, 3, and 5","1, 3, and 6","2, 3, and 5","2, 3, and 6","2, 4, and 6",4,,
When the Isthmus of Panama formed a land bridge resulted between North and South America. What opportunities for colonization did this land bridge offer?,Multiple Choice,Colonization of the newly arisen land by organisms from North and South America,Colonization of North America by organisms from South America,Colonization of South America by organisms from North America,Both B and C,All of the above,5,,
The snake family Typhlopidae consists of small burrowing species with vestigial eyes. They are found in Australia Sub-Saharan Africa India and some adjacent areas and South America. What is the most likely explanation for this distribution?,Multiple Choice,Rafting to the different continents from the point of origin on one of these continents,Convergent evolution in the different regions,Origin on Gondwana followed by continental drift and some range expansion,All of the above,,3,,
How are two different species most likely to evolve from one ancestral species?,Multiple Choice,"Sympatrically, by a point mutation affecting morphology or behavior","Allopatrically, after the ancestral species has split into two populations","Phylogenetically, due to heterozygote advantage in hybrids",,,2,,
Which of the following could be a vicariance event for species in that habitat?,Multiple Choice,The level of water in a lake recedes creating two lakes where there used to be one.,Some insects get blown in a storm to a new mountain range where they lay eggs.,Radiation near Chernobyl increases mutation rate causing an increase in autopolyploidy.,All of the above could be vicariance events for species in that habitat.,,1,,
Which of the following does not tend to promote speciation?,Multiple Choice,The founder effect,Gene flow,Natural selection,Polyploidy,,2,,
