Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1905,Chemicals secreted by soil fungi which inhibit the growth of bacteria are known as ___.,Multiple Choice,antibodies,aflatoxins,hallucinogens,antigens,antibiotics,5,
1906,Which of the following is an important role for fungi in the carbon cycle?,Multiple Choice,Fungi release fixed carbon back to the environment for other plants and photosynthetic organisms to utilize.,Fungi provide fixed carbon to plants for the production of plant cellular tissues.,Fungi fix carbon by undergoing photosynthesis.,Fungi reduce atmospheric carbon dioxide.,,1,
1907,When pathogenic fungi are found growing on the roots of grape vines grape farmers sometimes respond by covering the ground around their vines with plastic sheeting and pumping a gaseous fungicide into the soil. The most important concern of grape farmers who engage in this practice should be that the ___.,Multiple Choice,fungicide might also kill the native yeasts residing on the surfaces of the grapes,lichens growing on the vines' branches are not harmed,fungicide might also kill mycorrhizae,sheeting is transparent so that photosynthesis can continue,,3,
1908,Fungi that absorb nutrients from decaying plant matter are called ___.,Multiple Choice,saprobes,mycorrhizae,mushrooms,yeasts,molds,1,
1909,All fungi are ___.,Multiple Choice,symbiotic,heterotrophic,flagellated,pathogenic,decomposers,2,
1910,Which of the following is major characteristic of fungi that distinguishes them from other eukaryotes?,Multiple Choice,Acquiring nutrition through ingestion,Sessile lifestyle,Cells with nucleic and mitochondria,Nutrient acquisition via external digestion,,4,
1911,Why is it more difficult to treat fungal infections than bacterial infections in humans?,Multiple Choice,Fungi are larger organisms than bacteria and thus require stronger drugs to stop an infection.,Most fungi are multicellular and thus the drugs required to treat a fungal infection must be able to kill several types of cells; bacteria ; on the other hand ; are unicellular and thus simpler to kill.,Fungal and animal cells and proteins are similar. Thus ; drugs that disrupt fungal cell or protein function may also disrupt human cell or protein function.,Fungi are able to mutate more quickly than bacteria ; so they quickly develop resistance to antifungal drugs.,,3,
1912,Long branching fungal filaments are called ___.,Multiple Choice,roots,ascus,septa,mycelia,hyphae,5,
1913,The vegetative (nutritionally active) bodies of most fungi are ___.,Multiple Choice,I and II,II and III,only II,I and III,I ; II ; and III,5,
1914,You are a forester charged with increasing productivity in a South American forest newly planted with pines from Oregon. You believe that the southern forest lacks the fungal diversity needed by the North American pines and that this lack of fungi is affecting the pines' productivity ; but you have no evidence to support your ideas. Which of the following would be the best approach to assess the diversity of fungi likely contributing to tree productivity in the Oregon forest?,Multiple Choice,Count the number of fungal species visible on the leaves of one tree species and then multiply by the number of trees in the forest.,Collect all the fruiting structures (mushrooms ; morels ; etc.) found aboveground.,Do direct sequencing on representative soil samples from across the forest.,Expose the trees to radiolabeled phosphorus and then collect the soil samples with the greatest radioactivity and do direct sequencing.,,3,
1915,Which of these fungal features supports the phylogenetic conclusion that fungi are more closely related to animals than to plants?,Multiple Choice,Fungi are able to change their body shape continuously throughout their life.,Zygomycetes have flagellated gametes.,Fungi store polysaccharides as starch.,The cell walls of fungi are made of chitin.,,4,
1916,The question(s) below refer to the following phylogenetic trees. Which tree depicts the microsporidians as a sister group of the ascomycetes?,Multiple Choice,I,II,III,IV,,1,/static/images/q1916.png
1917,Microsporidians were long thought to be a sister group to fungi. Which of the phylogenies best supports this view?,Multiple Choice,I,II,III,IV,,4,/static/images/q1916.png
