Front,Back
"If two different species exhibit amoeboid movement, why is additional DNA or structural data needed to determine their relatedness?",Amoeboid motion is a product of convergent evolution that appeared independently in multiple eukaryotic lineages.
What is the primary function of most medicinal compounds found in plants?,They serve as a defense mechanism against microbes and herbivores.
"According to the fossil record, with which group of organisms did plants colonize terrestrial habitats in a mutualistic relationship?",Fungi.
Which group of organisms is considered the most direct ancestor of land plants?,Green algae.
What does the monophyletic nature of all land plants suggest regarding their transition to land?,There was a single transition from aquatic to terrestrial habitats.
Which morphological innovation was crucial for decreasing evaporation from leaves as plants moved to land?,Waxy cuticle.
Why are seedless vascular plants considered a paraphyletic group rather than a monophyletic one?,"The group includes their common ancestor and some, but not all, of its descendants."
"In the context of plant evolution, what is the significance of the chemical compound sporopollenin?","It inhibits evaporation from the surface of spores, aiding survival on land."
"Which morphological feature, missing in charophytes but present in land plants, provides structural support and water conduction?",Lignin.
What is the specific role of meiosis in the plant life cycle?,It produces haploid spores from a diploid sporophyte.
"In the life cycle of land plants, how are gametes produced?",Via mitosis from a haploid gametophyte.
What defines the 'alternation of generations' life cycle seen in many protists and all land plants?,Alternating between a multicellular haploid form and a multicellular diploid form.
Which structure in mosses and ferns is the site where female gametes are produced and embryos may be retained?,Archegonia.
What is the dominant phase in the life cycle of a moss?,Gametophyte.
Why are mosses and ferns typically restricted to moist environments for reproduction?,They have flagellated sperm that must swim through a film of water to reach the egg.
"In seed plants, which structure represents the male gametophyte?",Pollen grain.
What is the primary evolutionary advantage of heterospory in seed plants?,It allows for the specialized development of separate male and female gametophytes.
Which reproductive process is unique to angiosperms and results in a diploid zygote and triploid endosperm?,Double fertilization.
How do stomata solve the problem created by the waxy cuticle in land plants?,They provide pores that can open for gas exchange and close to prevent water loss.
What is the major trend in land plant evolution regarding life cycle dominance?,A shift toward a sporophyte-dominated life cycle.
Which plant group was the first to evolve true roots?,Lycophytes (club mosses).
What is the name of the waxy sealant that prevents water loss in land plants?,Cuticle.
"In angiosperms, what structure develops from the ovary and aids in seed dispersal?",Fruit.
How does the nutrient storage in seeds differ from that in spores?,"Seeds contain an embryo and stored nutritive tissue, whereas spores are single-celled."
Which group of eukaryotes is defined by the presence of a nuclear envelope?,Eukarya.
What role do diatoms play as primary producers in the global carbon cycle?,They fix approximately half of the total $CO_{2}$ fixed in the ocean through photosynthesis.
Which parasitic protist is the causative agent of malaria?,$Plasmodium$.
"According to endosymbiosis theory, what was the origin of the mitochondrion?",An ancient eukaryote engulfed an aerobic bacterium.
Why is the group known as 'protists' considered paraphyletic?,"It includes all eukaryotes except for land plants, fungi, and animals."
What is the function of contractile vacuoles in some protists?,They regulate water balance by pumping excess water out of the cell.
Which morphological feature is distinctive to the lineage Stramenopila?,"Flagella with tiny, hollow, hairlike projections."
How do dinoflagellates cause harmful algal blooms?,They reach high concentrations and produce toxins like saxitoxins that accumulate in shellfish.
What is the 'changing-environment' hypothesis for the evolution of sexual reproduction?,Genetic variation in offspring allows them to withstand attack by evolving parasites.
"In the context of the carbon cycle, what constitutes a 'carbon sink'?","Long-term reservoirs where carbon is locked up, such as shells or dead cells on the ocean floor."
"Which eukaryotic lineage includes fungi, animals, and choanoflagellates?",Opisthokonta.
How does a 'plasmodial' slime mold differ from a 'cellular' slime mold in its structure?,"A plasmodial slime mold is a single massive cell with many nuclei, while a cellular slime mold consists of individual cells."
What is the function of the apicoplast found in $Plasmodium$?,It is a vestigial chloroplast that contains genes involved in essential metabolic pathways.
"In the eukaryotic cell, what is the role of the cytoskeleton?",It provides structural support and enables cell movement and transport of materials.
Which protist group is known for having two nuclei: a micronucleus and a macronucleus?,Ciliates (like $Paramecium$).
What characterizes the 'Excavata' lineage of eukaryotes?,"The presence of a feeding groove and, in many cases, vestigial or reduced mitochondria."
Why is the Irish potato famine significant in the study of protists?,"It was caused by $Phytophthora$ $infestans$, a water mold that devastated crops and caused mass starvation."
What distinguishes the primary producers in aquatic ecosystems from those in terrestrial ones?,"Aquatic producers are primarily microscopic protists (plankton), whereas terrestrial ones are land plants."
How do researchers use direct sequencing to identify new species of protists?,They sample soil or water and analyze DNA sequences to find unique genetic signatures without culturing the organisms.
What is the evolutionary significance of secondary endosymbiosis?,It explains the presence of chloroplasts with four membranes in several eukaryotic lineages.
"Which structure allows liverworts to perform gas exchange, and how does it differ from stomata?",Simple pores; they differ because they lack guard cells and cannot close.
"In the process of meiosis, how many sets of chromosomes are present in the resulting cells?",One set (haploid).
What is the primary component of the cell walls of land plants?,Cellulose.
Which group of plants is characterized by having 'naked seeds' not enclosed in an ovary?,Gymnosperms.
Why is bioluminescence in dinoflagellates thought to be an adaptation?,It may protect them by startling or revealing predators to higher-level consumers.
Which specialized cell types in animals are not found in most other eukaryotic lineages?,Neurons and muscle cells.
What is the purpose of the 'triploid endosperm' in angiosperm seeds?,It provides a source of nutrition for the developing embryo.
"In the life cycle of $Plasmodium$, where does sexual reproduction occur?",In the gut of the mosquito host.
Which lineage of land plants is the most diverse in terms of number of species?,Angiosperms.
What ecological service do plants provide by 'fixing' carbon?,"They remove $CO_{2}$ from the atmosphere and incorporate it into sugars, helping moderate global climate."
What is the defining characteristic of 'homosporous' plants?,They produce a single type of spore that develops into a bisexual gametophyte.
How does the 'startle hypothesis' explain the function of bioluminescence?,The light emission deters predators by making the prey more difficult to capture or by attracting the predator's own enemies.
What is the significance of the $P$-value in biological experiments?,It indicates the probability that the observed results occurred by chance; values below $0.05$ are typically considered significant.
Which morphological trait is common to all eukaryotes but absent in prokaryotes?,Linear chromosomes enclosed in a nuclear envelope.
"In evolutionary terms, why is it beneficial for a species to revert to wind pollination?","It saves the energy cost of producing nectar and large, colorful petals to attract animal pollinators."
What is the primary role of springtails in the life cycle of certain mosses?,They facilitate fertilization by carrying sperm from male to female gametophytes.
